"G","20","null","null","GAIH/OCON","REG","7","1a4ef2a:10941222c8c:-7ffc1a4ef2a","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","GAIH/OCOJ","null","null","P",
"O","730","OU)TIDANO/J","OU)TIDANH/","OU)TIDANO/N","REG","8","121d493b:109f09dc6d0:-78ea121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"N","360","NUMFEI=OJ","NUMFEI/A_","NUMFEI=ON","REG","8","121d493b:109f09dc6d0:-7e8e121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"R","30","RO/DEOJ","RODE/A_","RO/DEON","REG","8","121d493b:109f09dc6d0:-7fa6121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"Y","50","YU_CIKO/J","YU_CIKH/","YU_CIKO/N","REG","8","121d493b:109f09dc6d0:-77ae121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","720","OU)/RIOJ","OU)RI/A_","OU)/RION","REG","8","121d493b:109f09dc6d0:-79e0121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"N","310","NOSAKERO/J","NOSAKERA/","NOSAKERO/N","REG","8","121d493b:109f09dc6d0:-7e5e121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","710","OU)RAI=OJ","OU)RAI_/A_","OU)RAI=ON","REG","8","121d493b:109f09dc6d0:-7fe6121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"Y","30","YI_LIKO/J","YI_LIKH/","YI_LIKO/N","REG","8","121d493b:109f09dc6d0:-78a2121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"W","20","W|)DIKO/J","W|)DIKH/","W|)DIKO/N","REG","8","121d493b:109f09dc6d0:-7746121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"G","230","null","null","GNW/RIMON","REG","7","-e3526ff:1086ded473c:-7fe0-e3526","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","GNW/RIMOJ","null","null","P",
"G","260","null","null","GONUKAMYEPI/KURTON","REG","7","4a50b589:109459ff04d:-7ff84a50b5","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","GONUKAMYEPI/KURTOJ","null","null","P",
"G","520","null","null","GUNAIKO/BOULON","REG","7","4a50b589:109459ff04d:-7f954a50b5","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","GUNAIKO/BOULOJ","null","null","P",
"G","30","GA_/I+OJ","GA_I+/A_","GA_/I+ON","REG","8","121d493b:109f09dc6d0:-7bbe121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"G","180","GEWRGIKO/J","GEWRGIKH/","GEWRGIKO/N","REG","8","121d493b:109f09dc6d0:-77de121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","240","FI/LIOJ","FILI/A_","FI/LION","REG","8","121d493b:109f09dc6d0:-7f64121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","630","FILU/RINOJ","FILURI/NH","FILU/RINON","REG","8","121d493b:109f09dc6d0:-7fd4121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"G","10","null","null","GAIH/I+ON","REG","7","1a4ef2a:10941222c8c:-80001a4ef2a","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","GAIH/I+OJ","null","null","P",
"F","740","FOI/NIOJ","FOINI/A_","FOI/NION","REG","8","121d493b:109f09dc6d0:-7f8a121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","770","FORTIKO/J","FORTIKH/","FORTIKO/N","REG","8","66af11b4:109fb0b50e9:-7ec466af11","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","690","FOINI_KIKO/J","FOINI_KIKH/","FOINI_KIKO/N","REG","8","121d493b:109f09dc6d0:-798c121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","810","FRU_NI/CEIOJ","FRU_NICEI/A_","FRU_NI/CEION","REG","8","121d493b:109f09dc6d0:-7f88121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","40","FEUKTO/J","FEUKTH/","FEUKTO/N","REG","8","121d493b:109f09dc6d0:-7758121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"Y","20","YAFARO/J","YAFARA/","YAFARO/N","REG","8","121d493b:109f09dc6d0:-7956121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"G","200","null","null","GLUKU/DWRON","REG","7","121d493b:109f09dc6d0:-7ac0121d49","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","GLUKU/DWROJ","null","null","P",
"O","700","null","null","OU)DENO/SWRON","REG","7","66af11b4:109fb0b50e9:-7fec66af11","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","OU)DENO/SWROJ","null","null","P",
"F","780","FRIKTO/J","FRIKTH/","FRIKTO/N","REG","8","121d493b:109f09dc6d0:-7756121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","360","null","null","O(MOIO/TROPON","REG","7","121d493b:109f09dc6d0:-7f0e121d49","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","O(MOIO/TROPOJ","null","null","P",
"O","350","O(/MOIOJ","O(MOI/A_","O(/MOION","REG","8","-e3526ff:1086ded473c:-7fe2-e3526","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","340","null","null","O(MOEQNE/J","REG","2","66af11b4:109fb0b50e9:-7e6666af11","3219b6ce:10a1e0122f3:-7ff83219b6","0","0","O(MOEQNH/J","O(MOEQNOU=J","null","P",
"O","330","null","null","O(MO/DOXON","REG","7","121d493b:109f09dc6d0:-7fdc121d49","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","O(MO/DOXOJ","null","null","P",
"O","320","null","null","O(MOGNW/MON","REG","2","66af11b4:109fb0b50e9:-7f8466af11","3219b6ce:10a1e0122f3:-7ff83219b6","0","0","O(MOGNW/MWN","O(MOGNW/MONOJ","null","P",
"O","690","OU)DEI/J","OU)DEMI/A","OU)DE/N","REG","11","-5302781a:10d1c90aeb7:-7ff5-5302","66613b16:10a229882c2:-800066613b","0","0","null","null","null","P",
"O","680","O)STE/I+NOJ","O)STEI+/NH","O)STE/I+NON","REG","8","121d493b:109f09dc6d0:-7c82121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","670","O(/SSOJ","O(/SSH","O(/SSON","EPI","8","2886c7:109efd898d8:-7ffc2886c7:1","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","660","O(/SSICOJ","O(SSI/CH","O(/SSICON","EPI","8","2886c7:109efd898d8:-7ff82886c7:1","3219b6ce:10a1e0122f3:-7fff3219b6","0","1","null","null","null","P",
"O","650","O(/SOJ","O(/SH","O(/SON","REG","8","2886c7:109efd898d8:-80002886c7:1","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","640","O)RCHSTIKO/J","O)RCHSTIKH/","O)RCHSTIKO/N","REG","8","121d493b:109f09dc6d0:-78da121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","630","O)RNI_QEUTIKO/J","O)RNI_QEUTIKH/","O)RNI_QEUTIKO/N","REG","8","121d493b:109f09dc6d0:-786a121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","620","O)RNI_/QEIOJ","O)RNI_QEI/A_","O)RNI_/QEION","REG","8","121d493b:109f09dc6d0:-7f26121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"W","10","*W)GU/GIOJ","*W)GUGI/A_","*W)GU/GION","REG","8","121d493b:109f09dc6d0:-7e3e121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"N","80","null","null","NEO/GRAFON","REG","7","121d493b:109f09dc6d0:-7c3c121d49","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","NEO/GRAFOJ","null","null","P",
"O","610","null","null","O(/RION","REG","7","66af11b4:109fb0b50e9:-7f5e66af11","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","O(/RIOJ","null","null","P",
"O","600","O(RIKO/J","O(RIKH/","O(RIKO/N","REG","8","121d493b:109f09dc6d0:-7896121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","590","O)/RQRIOJ","O)RQRI/A_","O)/RQRION","REG","8","121d493b:109f09dc6d0:-7b2c121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","580","O)RQO/KRAIROJ","O)RQOKRAI/RA_","O)RQO/KRAIRON","REG","8","121d493b:109f09dc6d0:-7abe121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","570","null","O)RESTIA/J","null","REG","4","64932690:109fb2ae2c2:-7fe8649326","3219b6ce:10a1e0122f3:-7ffa3219b6","0","0","null","O)RESTIA/DOJ","null","P",
"O","560","*O)RE/STEIOJ","*O)RESTEI/A_","*O)RE/STEION","REG","8","121d493b:109f09dc6d0:-7bf4121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"G","620","GU/NAIOJ","GUNAI/A_","GU/NAION","REG","8","4a50b589:109459ff04d:-7f714a50b5","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","830","FUKTO/J","FUKTH/","FUKTO/N","POE","8","121d493b:109f09dc6d0:-775a121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","250","FILIPPIKO/J","FILIPPIKH/","FILIPPIKO/N","REG","8","121d493b:109f09dc6d0:-78e8121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"X","10","XENIKO/J","XENIKH/","XENIKO/N","REG","8","121d493b:109f09dc6d0:-7882121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","550","O)REKTIKO/J","O)REKTIKH/","O)REKTIKO/N","REG","8","121d493b:109f09dc6d0:-77f0121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"W","40","W)MOBO/EIOJ","W)MOBOEI/A_","W)MOBO/EION","REG","8","121d493b:109f09dc6d0:-7fa2121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"N","350","NUMFAI=OJ","NUMFAI_/A_","NUMFAI=ON","REG","8","121d493b:109f09dc6d0:-7f90121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"N","370","NUMFI/DIOJ","NUMFIDI/A_","NUMFI/DION","REG","8","121d493b:109f09dc6d0:-7e8c121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","850","FU/LLINOJ","FULLI/NH","FU/LLINON","REG","8","121d493b:109f09dc6d0:-7f70121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","880","FWNASKIKO/J","FWNASKIKH/","FWNASKIKO/N","REG","8","121d493b:109f09dc6d0:-7856121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","640","FLO/I+NOJ","FLOI+/NH","FLO/I+NON","REG","8","121d493b:109f09dc6d0:-7f7c121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"C","620","CWROGRAFIKO/J","CWROGRAFIKH/","CWROGRAFIKO/N","REG","8","121d493b:109f09dc6d0:-77f2121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","540","O)/REIOJ","O)REI/A_","O)/REION","REG","8","121d493b:109f09dc6d0:-7f7a121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"C","610","CWRI_TIKO/J","CWRI_TIKH/","CWRI_TIKO/N","REG","8","121d493b:109f09dc6d0:-77ca121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","840","FU_LETIKO/J","FU_LETIKH/","FU_LETIKO/N","REG","8","121d493b:109f09dc6d0:-78be121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","710","null","null","FOINI_KOPA/RHON","REG","7","121d493b:109f09dc6d0:-79b0121d49","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","FOINI_KOPA/RHOJ","null","null","P",
"O","530","O)RGIASTIKO/J","O)RGIASTIKH/","O)RGIASTIKO/N","REG","8","121d493b:109f09dc6d0:-793a121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"W","50","W(RIKO/J","W(RIKH/","W(RIKO/N","REG","8","121d493b:109f09dc6d0:-7e6e121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"W","60","W)TW/EIJ","W)TW/ESSA","W)TW/EN","REG","3","66af11b4:109fb0b50e9:-7eba66af11","3219b6ce:10a1e0122f3:-7ff93219b6","0","0","null","W)TW/ENTOJ","null","P",
"N","390","NWTIAI=OJ","NWTIAI_/A_","NWTIAI=ON","REG","8","121d493b:109f09dc6d0:-7fc6121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","660","FOI/BEIOJ","FOIBEI/A_","FOI/BEION","REG","8","121d493b:109f09dc6d0:-7bf2121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"N","280","NHSIWTIKO/J","NHSIWTIKH/","NHSIWTIKO/N","REG","8","121d493b:109f09dc6d0:-77d4121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","820","FUGADIKO/J","FUGADIKH/","FUGADIKO/N","REG","8","121d493b:109f09dc6d0:-7872121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","260","null","null","FI/LIPPON","REG","7","121d493b:109f09dc6d0:-7d44121d49","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","FI/LIPPOJ","null","null","P",
"C","600","CRU_SOCOI+KO/J","CRU_SOCOI+KH/","CRU_SOCOI+KO/N","REG","8","121d493b:109f09dc6d0:-78ac121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"N","380","NWI+/TEROJ","NWI+TE/RA_","NWI+/TERON","REG","8","121d493b:109f09dc6d0:-7f7e121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","520","O(RA_TO/J","O(RA_TH/","O(RA_TO/N","REG","8","121d493b:109f09dc6d0:-7754121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","510","O(PO/TEROJ","O(PO/TERA","O(PO/TERON","REG","8","-e3526ff:1086ded473c:-7fe3-e3526","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"C","590","null","null","CRU_SOCA/LI_NON","REG","7","121d493b:109f09dc6d0:-7a4a121d49","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","CRU_SOCA/LI_NOJ","null","null","P",
"N","320","NOSERO/J","NOSERA/","NOSERO/N","REG","8","121d493b:109f09dc6d0:-77b8121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"C","580","null","null","CRU_SOFA/LARON","REG","7","121d493b:109f09dc6d0:-7ad6121d49","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","CRU_SOFA/LAROJ","null","null","P",
"O","500","O(PO/STOJ","O(PO/STH","O(PO/STON","REG","8","121d493b:109f09dc6d0:-7bb2121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"C","570","CRU_SOU=J","CRU_SH=","CRU_SOU=N","REG","10","27b7933:10a477500ca:-800027b7933","3219b6ce:10a1e0122f3:-7ffe3219b6","0","0","null","null","null","P",
"C","560","null","null","CRU_SOTRI/AINON","REG","7","121d493b:109f09dc6d0:-7ad8121d49","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","CRU_SOTRI/AINOJ","null","null","P",
"C","550","null","null","CRU_SO/TOXON","REG","7","121d493b:109f09dc6d0:-7a16121d49","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","CRU_SO/TOXOJ","null","null","P",
"C","540","null","null","null","REG","4","30f418db:109e0d68165:-7fa630f418","3219b6ce:10a1e0122f3:-7ffa3219b6","0","0","CRU_SORO/HJ","CRU_SORO/OU","null","P",
"O","490","O(POI=OJ","O(POI_/A_","O(POI=ON","REG","8","121d493b:109f09dc6d0:-79aa121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","670","null","null","FOINI_KA/NQEMON","REG","7","121d493b:109f09dc6d0:-7aa2121d49","3219b6ce:10a1e0122f3:-7ffd3219b6","0","0","FOINI_KA/NQEMOJ","null","null","P",
"N","180","NE/OJ","NE/A","NE/ON","REG","8","-e3526ff:1086ded473c:-8000-e3526","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"O","480","O(PODAPO/J","O(PODAPH/","O(PODAPO/N","REG","8","121d493b:109f09dc6d0:-77aa121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
"F","300","FILOGUMNASTIKO/J","FILOGUMNASTIKH/","FILOGUMNASTIKO/N","REG","8","121d493b:109f09dc6d0:-78ca121d49","3219b6ce:10a1e0122f3:-7fff3219b6","0","0","null","null","null","P",
